Input for MX Roads
Generated on 06-Nov-06 11:27:28 PM

Northing          	Easting           	Elevation         	Layer             	Sequence ID       
       6.553	       2.073	       2.300	3	206
       4.581	       2.539	       3.390	3	208
       4.993	       5.536	       4.670	3	209
       6.553	       2.073	       2.300	3	211
       4.581	       2.539	       3.390	3	212
       4.993	       5.536	       4.670	3	214
       7.216	       5.069	       3.390	3	215
       7.126	       5.016	       3.390	3	217
       6.463	       2.019	       2.300	3	218
       4.491	       2.485	       3.390	3	220
       4.903	       5.482	       4.670	3	221
       6.463	       2.019	       2.300	3	223
       4.491	       2.485	       3.390	3	224
       4.903	       5.482	       4.670	3	226
       7.126	       5.016	       3.390	3	227
       7.109	       4.836	       3.390	3	229
       6.445	       1.839	       2.300	3	230
       4.473	       2.306	       3.390	3	232
       4.885	       5.303	       4.670	3	233
       6.445	       1.839	       2.300	3	235
       4.473	       2.306	       3.390	3	236
       4.885	       5.303	       4.670	3	238
       7.109	       4.836	       3.390	3	239
       5.154	       4.549	       3.390	3	241
       5.567	       7.546	       4.670	3	242
       5.567	       7.546	       4.670	3	244
       7.790	       7.079	       3.390	3	245
       7.790	       7.079	       3.390	3	247
       7.126	       4.082	       2.300	3	248
       7.126	       4.082	       2.300	3	250
       5.154	       4.549	       3.390	3	251
       8.256	       8.210	       3.390	3	253
       7.593	       5.213	       2.300	3	254
       5.621	       5.679	       3.390	3	256
       6.033	       8.676	       4.670	3	257
       7.593	       5.213	       2.300	3	259
       5.621	       5.679	       3.390	3	260
       6.033	       8.676	       4.670	3	262
       8.256	       8.210	       3.390	3	263
       8.453	       8.156	       3.390	3	265
       7.790	       5.159	       2.300	3	266
       5.818	       5.626	       3.390	3	268
       6.230	       8.622	       4.670	3	269
       7.790	       5.159	       2.300	3	271
       5.818	       5.626	       3.390	3	272
       6.230	       8.622	       4.670	3	274
       8.453	       8.156	       3.390	3	275
       8.597	       7.923	       3.390	3	277
       7.933	       4.926	       2.300	3	278
       5.961	       5.392	       3.390	3	280
       6.374	       8.389	       4.670	3	281
       7.933	       4.926	       2.300	3	283
       5.961	       5.392	       3.390	3	284
       6.374	       8.389	       4.670	3	286
       8.597	       7.923	       3.390	3	287
       8.704	       6.236	       3.390	3	289
       8.041	       3.239	       2.300	3	290
       6.069	       3.706	       3.390	3	292
       6.481	       6.702	       4.670	3	293
       8.041	       3.239	       2.300	3	295
       6.069	       3.706	       3.390	3	296
       6.481	       6.702	       4.670	3	298
       8.704	       6.236	       3.390	3	299
       9.170	       7.366	       3.390	3	301
       8.507	       4.370	       2.300	3	302
       6.535	       4.836	       3.390	3	304
       6.947	       7.833	       4.670	3	305
       8.507	       4.370	       2.300	3	307
       6.535	       4.836	       3.390	3	308
       6.947	       7.833	       4.670	3	310
       9.170	       7.366	       3.390	3	311
       8.041	       3.239	       2.300	3	313
       6.069	       3.706	       3.390	3	314
       6.481	       6.702	       4.670	3	316
       8.704	       6.236	       3.390	3	317
       8.041	       3.239	       2.300	3	319
       6.069	       3.706	       3.390	3	320
       6.481	       6.702	       4.670	3	322
       8.704	       6.236	       3.390	3	323
       8.991	       5.482	       3.390	3	325
       8.328	       2.485	       2.300	3	326
       6.356	       2.952	       3.390	3	328
       6.768	       5.949	       4.670	3	329
       8.328	       2.485	       2.300	3	331
       6.356	       2.952	       3.390	3	332
       6.768	       5.949	       4.670	3	334
       8.991	       5.482	       3.390	3	335
       8.937	       5.213	       3.390	3	337
       8.274	       2.216	       2.300	3	338
       6.302	       2.683	       3.390	3	340
       6.714	       5.679	       4.670	3	341
       8.274	       2.216	       2.300	3	343
       6.302	       2.683	       3.390	3	344
       6.714	       5.679	       4.670	3	346
       8.937	       5.213	       3.390	3	347
       8.615	       4.908	       3.390	3	349
       7.951	       1.911	       2.300	3	350
       5.979	       2.378	       3.390	3	352
       6.391	       5.374	       4.670	3	353
       7.951	       1.911	       2.300	3	355
       5.979	       2.378	       3.390	3	356
       6.391	       5.374	       4.670	3	358
       8.615	       4.908	       3.390	3	359
       8.381	       4.800	       3.390	3	361
       7.718	       1.803	       2.300	3	362
       5.746	       2.270	       3.390	3	364
       6.158	       5.267	       4.670	3	365
       7.718	       1.803	       2.300	3	367
       5.746	       2.270	       3.390	3	368
       6.158	       5.267	       4.670	3	370
       8.381	       4.800	       3.390	3	371
       8.077	       4.782	       3.390	3	373
       7.413	       1.785	       2.300	3	374
       5.441	       2.252	       3.390	3	376
       5.854	       5.249	       4.670	3	377
       7.413	       1.785	       2.300	3	379
       5.441	       2.252	       3.390	3	380
       5.854	       5.249	       4.670	3	382
       8.077	       4.782	       3.390	3	383
       7.897	       4.782	       3.390	3	385
       7.234	       1.785	       2.300	3	386
       5.262	       2.252	       3.390	3	388
       5.674	       5.249	       4.670	3	389
       7.234	       1.785	       2.300	3	391
       5.262	       2.252	       3.390	3	392
       5.674	       5.249	       4.670	3	394
       7.897	       4.782	       3.390	3	395
       7.664	       4.782	       3.390	3	397
       7.001	       1.785	       2.300	3	398
       5.029	       2.252	       3.390	3	400
       5.441	       5.249	       4.670	3	401
       7.001	       1.785	       2.300	3	403
       5.029	       2.252	       3.390	3	404
       5.441	       5.249	       4.670	3	406
       7.664	       4.782	       3.390	3	407
       7.431	       4.818	       3.390	3	409
       6.768	       1.821	       2.300	3	410
       4.796	       2.288	       3.390	3	412
       5.208	       5.285	       4.670	3	413
       6.768	       1.821	       2.300	3	415
       4.796	       2.288	       3.390	3	416
       5.208	       5.285	       4.670	3	418
       7.431	       4.818	       3.390	3	419
       7.431	       5.159	       3.390	3	421
       6.768	       2.162	       2.300	3	422
       4.796	       2.629	       3.390	3	424
       5.208	       5.626	       4.670	3	425
       6.768	       2.162	       2.300	3	427
       4.796	       2.629	       3.390	3	428
       5.208	       5.626	       4.670	3	430
       7.431	       5.159	       3.390	3	431
       7.360	       5.213	       3.390	3	433
       6.696	       2.216	       2.300	3	434
       4.724	       2.683	       3.390	3	436
       5.136	       5.679	       4.670	3	437
       6.696	       2.216	       2.300	3	439
       4.724	       2.683	       3.390	3	440
       5.136	       5.679	       4.670	3	442
       7.360	       5.213	       3.390	3	443
       7.055	       5.213	       3.390	3	445
       6.391	       2.216	       2.300	3	446
       4.419	       2.683	       3.390	3	448
       4.832	       5.679	       4.670	3	449
       6.391	       2.216	       2.300	3	451
       4.419	       2.683	       3.390	3	452
       4.832	       5.679	       4.670	3	454
       7.055	       5.213	       3.390	3	455
       6.965	       5.159	       3.390	3	457
       6.302	       2.162	       2.300	3	458
       4.330	       2.629	       3.390	3	460
       4.742	       5.626	       4.670	3	461
       6.302	       2.162	       2.300	3	463
       4.330	       2.629	       3.390	3	464
       4.742	       5.626	       4.670	3	466
       6.965	       5.159	       3.390	3	467
       6.947	       4.980	       3.390	3	469
       6.284	       1.983	       2.300	3	470
       4.312	       2.449	       3.390	3	472
       4.724	       5.446	       4.670	3	473
       6.284	       1.983	       2.300	3	475
       4.312	       2.449	       3.390	3	476
       4.724	       5.446	       4.670	3	478
       6.947	       4.980	       3.390	3	479
       5.065	       4.621	       3.390	3	481
       5.477	       7.617	       4.670	3	482
       5.477	       7.617	       4.670	3	484
       7.700	       7.151	       3.390	3	485
       7.700	       7.151	       3.390	3	487
       7.037	       4.154	       2.300	3	488
       7.037	       4.154	       2.300	3	490
       5.065	       4.621	       3.390	3	491
       8.166	       8.281	       3.390	3	493
       7.503	       5.285	       2.300	3	494
       5.531	       5.751	       3.390	3	496
       5.943	       8.748	       4.670	3	497
       7.503	       5.285	       2.300	3	499
       5.531	       5.751	       3.390	3	500
       5.943	       8.748	       4.670	3	502
       8.166	       8.281	       3.390	3	503
       8.364	       8.228	       3.390	3	505
       7.700	       5.231	       2.300	3	506
       5.728	       5.697	       3.390	3	508
       6.140	       8.694	       4.670	3	509
       7.700	       5.231	       2.300	3	511
       5.728	       5.697	       3.390	3	512
       6.140	       8.694	       4.670	3	514
       8.364	       8.228	       3.390	3	515
       8.507	       7.994	       3.390	3	517
       7.844	       4.998	       2.300	3	518
       5.872	       5.464	       3.390	3	520
       6.284	       8.461	       4.670	3	521
       7.844	       4.998	       2.300	3	523
       5.872	       5.464	       3.390	3	524
       6.284	       8.461	       4.670	3	526
       8.507	       7.994	       3.390	3	527
       8.615	       6.308	       3.390	3	529
       7.951	       3.311	       2.300	3	530
       5.979	       3.777	       3.390	3	532
       6.391	       6.774	       4.670	3	533
       7.951	       3.311	       2.300	3	535
       5.979	       3.777	       3.390	3	536
       6.391	       6.774	       4.670	3	538
       8.615	       6.308	       3.390	3	539
       9.081	       7.438	       3.390	3	541
       8.417	       4.441	       2.300	3	542
       6.445	       4.908	       3.390	3	544
       6.858	       7.905	       4.670	3	545
       8.417	       4.441	       2.300	3	547
       6.445	       4.908	       3.390	3	548
       6.858	       7.905	       4.670	3	550
       9.081	       7.438	       3.390	3	551
       7.951	       3.311	       2.300	3	553
       5.979	       3.777	       3.390	3	554
       6.391	       6.774	       4.670	3	556
       8.615	       6.308	       3.390	3	557
       7.951	       3.311	       2.300	3	559
       5.979	       3.777	       3.390	3	560
       6.391	       6.774	       4.670	3	562
       8.615	       6.308	       3.390	3	563
       8.901	       5.554	       3.390	3	565
       8.238	       2.557	       2.300	3	566
       6.266	       3.024	       3.390	3	568
       6.678	       6.020	       4.670	3	569
       8.238	       2.557	       2.300	3	571
       6.266	       3.024	       3.390	3	572
       6.678	       6.020	       4.670	3	574
       8.901	       5.554	       3.390	3	575
       8.848	       5.285	       3.390	3	577
       8.184	       2.288	       2.300	3	578
       6.212	       2.754	       3.390	3	580
       6.625	       5.751	       4.670	3	581
       8.184	       2.288	       2.300	3	583
       6.212	       2.754	       3.390	3	584
       6.625	       5.751	       4.670	3	586
       8.848	       5.285	       3.390	3	587
       8.525	       4.980	       3.390	3	589
       7.862	       1.983	       2.300	3	590
       5.889	       2.449	       3.390	3	592
       6.302	       5.446	       4.670	3	593
       7.862	       1.983	       2.300	3	595
       5.889	       2.449	       3.390	3	596
       6.302	       5.446	       4.670	3	598
       8.525	       4.980	       3.390	3	599
       8.292	       4.872	       3.390	3	601
       7.628	       1.875	       2.300	3	602
       5.656	       2.342	       3.390	3	604
       6.069	       5.339	       4.670	3	605
       7.628	       1.875	       2.300	3	607
       5.656	       2.342	       3.390	3	608
       6.069	       5.339	       4.670	3	610
       8.292	       4.872	       3.390	3	611
       7.987	       4.854	       3.390	3	613
       7.324	       1.857	       2.300	3	614
       5.352	       2.324	       3.390	3	616
       5.764	       5.321	       4.670	3	617
       7.324	       1.857	       2.300	3	619
       5.352	       2.324	       3.390	3	620
       5.764	       5.321	       4.670	3	622
       7.987	       4.854	       3.390	3	623
       7.808	       4.854	       3.390	3	625
       7.144	       1.857	       2.300	3	626
       5.172	       2.324	       3.390	3	628
       5.585	       5.321	       4.670	3	629
       7.144	       1.857	       2.300	3	631
       5.172	       2.324	       3.390	3	632
       5.585	       5.321	       4.670	3	634
       7.808	       4.854	       3.390	3	635
       7.575	       4.854	       3.390	3	637
       6.911	       1.857	       2.300	3	638
       4.939	       2.324	       3.390	3	640
       5.352	       5.321	       4.670	3	641
       6.911	       1.857	       2.300	3	643
       4.939	       2.324	       3.390	3	644
       5.352	       5.321	       4.670	3	646
       7.575	       4.854	       3.390	3	647
       7.342	       4.890	       3.390	3	649
       6.678	       1.893	       2.300	3	650
       4.706	       2.360	       3.390	3	652
       5.119	       5.356	       4.670	3	653
       6.678	       1.893	       2.300	3	655
       4.706	       2.360	       3.390	3	656
       5.119	       5.356	       4.670	3	658
       7.342	       4.890	       3.390	3	659
       7.342	       5.231	       3.390	3	661
       6.678	       2.234	       2.300	3	662
       4.706	       2.701	       3.390	3	664
       5.119	       5.697	       4.670	3	665
       6.678	       2.234	       2.300	3	667
       4.706	       2.701	       3.390	3	668
       5.119	       5.697	       4.670	3	670
       7.342	       5.231	       3.390	3	671
       7.270	       5.285	       3.390	3	673
       6.607	       2.288	       2.300	3	674
       4.634	       2.754	       3.390	3	676
       5.047	       5.751	       4.670	3	677
       6.607	       2.288	       2.300	3	679
       4.634	       2.754	       3.390	3	680
       5.047	       5.751	       4.670	3	682
       7.270	       5.285	       3.390	3	683
       6.965	       5.285	       3.390	3	685
       6.302	       2.288	       2.300	3	686
       4.330	       2.754	       3.390	3	688
       4.742	       5.751	       4.670	3	689
       6.302	       2.288	       2.300	3	691
       4.330	       2.754	       3.390	3	692
       4.742	       5.751	       4.670	3	694
       6.965	       5.285	       3.390	3	695
       6.875	       5.231	       3.390	3	697
       6.212	       2.234	       2.300	3	698
       4.240	       2.701	       3.390	3	700
       4.652	       5.697	       4.670	3	701
       6.212	       2.234	       2.300	3	703
       4.240	       2.701	       3.390	3	704
       4.652	       5.697	       4.670	3	706
       6.875	       5.231	       3.390	3	707
       6.858	       5.051	       3.390	3	709
       6.194	       2.055	       2.300	3	710
       4.222	       2.521	       3.390	3	712
       4.634	       5.518	       4.670	3	713
       6.194	       2.055	       2.300	3	715
       4.222	       2.521	       3.390	3	716
       4.634	       5.518	       4.670	3	718
       6.858	       5.051	       3.390	3	719
       4.975	       4.675	       3.390	3	721
       5.387	       7.671	       4.670	3	722
       5.387	       7.671	       4.670	3	724
       7.611	       7.205	       3.390	3	725
       7.611	       7.205	       3.390	3	727
       6.947	       4.208	       2.300	3	728
       6.947	       4.208	       2.300	3	730
       4.975	       4.675	       3.390	3	731
       8.077	       8.335	       3.390	3	733
       7.413	       5.339	       2.300	3	734
       5.441	       5.805	       3.390	3	736
       5.854	       8.802	       4.670	3	737
       7.413	       5.339	       2.300	3	739
       5.441	       5.805	       3.390	3	740
       5.854	       8.802	       4.670	3	742
       8.077	       8.335	       3.390	3	743
       8.274	       8.281	       3.390	3	745
       7.611	       5.285	       2.300	3	746
       5.638	       5.751	       3.390	3	748
       6.051	       8.748	       4.670	3	749
       7.611	       5.285	       2.300	3	751
       5.638	       5.751	       3.390	3	752
       6.051	       8.748	       4.670	3	754
       8.274	       8.281	       3.390	3	755
       8.417	       8.048	       3.390	3	757
       7.754	       5.051	       2.300	3	758
       5.782	       5.518	       3.390	3	760
       6.194	       8.515	       4.670	3	761
       7.754	       5.051	       2.300	3	763
       5.782	       5.518	       3.390	3	764
       6.194	       8.515	       4.670	3	766
       8.417	       8.048	       3.390	3	767
       8.525	       6.361	       3.390	3	769
       7.862	       3.365	       2.300	3	770
       5.889	       3.831	       3.390	3	772
       6.302	       6.828	       4.670	3	773
       7.862	       3.365	       2.300	3	775
       5.889	       3.831	       3.390	3	776
       6.302	       6.828	       4.670	3	778
       8.525	       6.361	       3.390	3	779
       8.991	       7.492	       3.390	3	781
       8.328	       4.495	       2.300	3	782
       6.356	       4.962	       3.390	3	784
       6.768	       7.958	       4.670	3	785
       8.328	       4.495	       2.300	3	787
       6.356	       4.962	       3.390	3	788
       6.768	       7.958	       4.670	3	790
       8.991	       7.492	       3.390	3	791
       7.862	       3.365	       2.300	3	793
       5.889	       3.831	       3.390	3	794
       6.302	       6.828	       4.670	3	796
       8.525	       6.361	       3.390	3	797
       7.862	       3.365	       2.300	3	799
       5.889	       3.831	       3.390	3	800
       6.302	       6.828	       4.670	3	802
       8.525	       6.361	       3.390	3	803
       8.812	       5.608	       3.390	3	805
       8.148	       2.611	       2.300	3	806
       6.176	       3.077	       3.390	3	808
       6.589	       6.074	       4.670	3	809
       8.148	       2.611	       2.300	3	811
       6.176	       3.077	       3.390	3	812
       6.589	       6.074	       4.670	3	814
       8.812	       5.608	       3.390	3	815
       8.758	       5.339	       3.390	3	817
       8.095	       2.342	       2.300	3	818
       6.123	       2.808	       3.390	3	820
       6.535	       5.805	       4.670	3	821
       8.095	       2.342	       2.300	3	823
       6.123	       2.808	       3.390	3	824
       6.535	       5.805	       4.670	3	826
       8.758	       5.339	       3.390	3	827
       8.435	       5.033	       3.390	3	829
       7.772	       2.037	       2.300	3	830
       5.800	       2.503	       3.390	3	832
       6.212	       5.500	       4.670	3	833
       7.772	       2.037	       2.300	3	835
       5.800	       2.503	       3.390	3	836
       6.212	       5.500	       4.670	3	838
       8.435	       5.033	       3.390	3	839
       8.202	       4.926	       3.390	3	841
       7.539	       1.929	       2.300	3	842
       5.567	       2.396	       3.390	3	844
       5.979	       5.392	       4.670	3	845
       7.539	       1.929	       2.300	3	847
       5.567	       2.396	       3.390	3	848
       5.979	       5.392	       4.670	3	850
       8.202	       4.926	       3.390	3	851
       7.897	       4.908	       3.390	3	853
       7.234	       1.911	       2.300	3	854
       5.262	       2.378	       3.390	3	856
       5.674	       5.374	       4.670	3	857
       7.234	       1.911	       2.300	3	859
       5.262	       2.378	       3.390	3	860
       5.674	       5.374	       4.670	3	862
       7.897	       4.908	       3.390	3	863
       7.718	       4.908	       3.390	3	865
       7.055	       1.911	       2.300	3	866
       5.083	       2.378	       3.390	3	868
       5.495	       5.374	       4.670	3	869
       7.055	       1.911	       2.300	3	871
       5.083	       2.378	       3.390	3	872
       5.495	       5.374	       4.670	3	874
       7.718	       4.908	       3.390	3	875
       7.485	       4.908	       3.390	3	877
       6.822	       1.911	       2.300	3	878
       4.850	       2.378	       3.390	3	880
       5.262	       5.374	       4.670	3	881
       6.822	       1.911	       2.300	3	883
       4.850	       2.378	       3.390	3	884
       5.262	       5.374	       4.670	3	886
       7.485	       4.908	       3.390	3	887
       7.252	       4.944	       3.390	3	889
       6.589	       1.947	       2.300	3	890
       4.617	       2.414	       3.390	3	892
       5.029	       5.410	       4.670	3	893
       6.589	       1.947	       2.300	3	895
       4.617	       2.414	       3.390	3	896
       5.029	       5.410	       4.670	3	898
       7.252	       4.944	       3.390	3	899
       7.252	       5.285	       3.390	3	901
       6.589	       2.288	       2.300	3	902
       4.617	       2.754	       3.390	3	904
       5.029	       5.751	       4.670	3	905
       6.589	       2.288	       2.300	3	907
       4.617	       2.754	       3.390	3	908
       5.029	       5.751	       4.670	3	910
       7.252	       5.285	       3.390	3	911
       7.180	       5.339	       3.390	3	913
       6.517	       2.342	       2.300	3	914
       4.545	       2.808	       3.390	3	916
       4.957	       5.805	       4.670	3	917
       6.517	       2.342	       2.300	3	919
       4.545	       2.808	       3.390	3	920
       4.957	       5.805	       4.670	3	922
       7.180	       5.339	       3.390	3	923
       6.875	       5.339	       3.390	3	925
       6.212	       2.342	       2.300	3	926
       4.240	       2.808	       3.390	3	928
       4.652	       5.805	       4.670	3	929
       6.212	       2.342	       2.300	3	931
       4.240	       2.808	       3.390	3	932
       4.652	       5.805	       4.670	3	934
       6.875	       5.339	       3.390	3	935
       6.786	       5.285	       3.390	3	937
       6.123	       2.288	       2.300	3	938
       4.150	       2.754	       3.390	3	940
       4.563	       5.751	       4.670	3	941
       6.123	       2.288	       2.300	3	943
       4.150	       2.754	       3.390	3	944
       4.563	       5.751	       4.670	3	946
       6.786	       5.285	       3.390	3	947
       6.768	       5.105	       3.390	3	949
       6.105	       2.108	       2.300	3	950
       4.132	       2.575	       3.390	3	952
       4.545	       5.572	       4.670	3	953
       6.105	       2.108	       2.300	3	955
       4.132	       2.575	       3.390	3	956
       4.545	       5.572	       4.670	3	958
       6.768	       5.105	       3.390	3	959
       4.885	       4.675	       3.390	3	961
       5.298	       7.671	       4.670	3	962
       5.298	       7.671	       4.670	3	964
       7.521	       7.205	       3.390	3	965
       7.521	       7.205	       3.390	3	967
       6.858	       4.208	       2.300	3	968
       6.858	       4.208	       2.300	3	970
       4.885	       4.675	       3.390	3	971
       7.987	       8.335	       3.390	3	973
       7.324	       5.339	       2.300	3	974
       5.352	       5.805	       3.390	3	976
       5.764	       8.802	       4.670	3	977
       7.324	       5.339	       2.300	3	979
       5.352	       5.805	       3.390	3	980
       5.764	       8.802	       4.670	3	982
       7.987	       8.335	       3.390	3	983
       8.184	       8.281	       3.390	3	985
       7.521	       5.285	       2.300	3	986
       5.549	       5.751	       3.390	3	988
       5.961	       8.748	       4.670	3	989
       7.521	       5.285	       2.300	3	991
       5.549	       5.751	       3.390	3	992
       5.961	       8.748	       4.670	3	994
       8.184	       8.281	       3.390	3	995
       8.328	       8.048	       3.390	3	997
       7.664	       5.051	       2.300	3	998
       5.692	       5.518	       3.390	3	1000
       6.105	       8.515	       4.670	3	1001
       7.664	       5.051	       2.300	3	1003
       5.692	       5.518	       3.390	3	1004
       6.105	       8.515	       4.670	3	1006
       8.328	       8.048	       3.390	3	1007
       8.435	       6.361	       3.390	3	1009
       7.772	       3.365	       2.300	3	1010
       5.800	       3.831	       3.390	3	1012
       6.212	       6.828	       4.670	3	1013
       7.772	       3.365	       2.300	3	1015
       5.800	       3.831	       3.390	3	1016
       6.212	       6.828	       4.670	3	1018
       8.435	       6.361	       3.390	3	1019
       8.901	       7.492	       3.390	3	1021
       8.238	       4.495	       2.300	3	1022
       6.266	       4.962	       3.390	3	1024
       6.678	       7.958	       4.670	3	1025
       8.238	       4.495	       2.300	3	1027
       6.266	       4.962	       3.390	3	1028
       6.678	       7.958	       4.670	3	1030
       8.901	       7.492	       3.390	3	1031
       7.772	       3.365	       2.300	3	1033
       5.800	       3.831	       3.390	3	1034
       6.212	       6.828	       4.670	3	1036
       8.435	       6.361	       3.390	3	1037
       7.772	       3.365	       2.300	3	1039
       5.800	       3.831	       3.390	3	1040
       6.212	       6.828	       4.670	3	1042
       8.435	       6.361	       3.390	3	1043
       8.722	       5.608	       3.390	3	1045
       8.059	       2.611	       2.300	3	1046
       6.087	       3.077	       3.390	3	1048
       6.499	       6.074	       4.670	3	1049
       8.059	       2.611	       2.300	3	1051
       6.087	       3.077	       3.390	3	1052
       6.499	       6.074	       4.670	3	1054
       8.722	       5.608	       3.390	3	1055
       8.668	       5.339	       3.390	3	1057
       8.005	       2.342	       2.300	3	1058
       6.033	       2.808	       3.390	3	1060
       6.445	       5.805	       4.670	3	1061
       8.005	       2.342	       2.300	3	1063
       6.033	       2.808	       3.390	3	1064
       6.445	       5.805	       4.670	3	1066
       8.668	       5.339	       3.390	3	1067
       8.346	       5.033	       3.390	3	1069
       7.682	       2.037	       2.300	3	1070
       5.710	       2.503	       3.390	3	1072
       6.123	       5.500	       4.670	3	1073
       7.682	       2.037	       2.300	3	1075
       5.710	       2.503	       3.390	3	1076
       6.123	       5.500	       4.670	3	1078
       8.346	       5.033	       3.390	3	1079
       8.113	       4.926	       3.390	3	1081
       7.449	       1.929	       2.300	3	1082
       5.477	       2.396	       3.390	3	1084
       5.889	       5.392	       4.670	3	1085
       7.449	       1.929	       2.300	3	1087
       5.477	       2.396	       3.390	3	1088
       5.889	       5.392	       4.670	3	1090
